ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9920707,HY109557,01/09/2015 09:35:00 PM,042XX W MAYPOLE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,true,false,1114,011,28,26,15,1147749,1901149,2015,01/16/2015 12:48:48 PM,41.884706566,-87.732903806,"(41.884706566, -87.732903806)"
9920840,HY109521,01/09/2015 09:30:00 PM,004XX W 75TH ST,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0732,007,17,68,08B,1174503,1855236,2015,01/16/2015 12:48:48 PM,41.75816147,-87.636027922,"(41.75816147, -87.636027922)"
9920745,HY109644,01/09/2015 09:30:00 PM,028XX W BELMONT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1733,017,33,21,14,1157140,1921185,2015,01/16/2015 12:48:48 PM,41.939501502,-87.697873418,"(41.939501502, -87.697873418)"
9920816,HY109670,01/09/2015 09:30:00 PM,028XX W MELROSE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARK PROPERTY,false,false,1733,017,33,21,14,1157099,1921414,2015,01/16/2015 12:48:48 PM,41.940130728,-87.698017867,"(41.940130728, -87.698017867)"
9920962,HY109916,01/09/2015 09:30:00 PM,045XX S JUSTINE ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,true,0924,009,3,61,08A,1166725,1874647,2015,01/16/2015 12:48:48 PM,41.81159713,-87.663979725,"(41.81159713, -87.663979725)"
9921008,HY109976,01/09/2015 09:30:00 PM,041XX W GRENSHAW ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,APARTMENT,false,false,1132,011,24,29,26,1149065,1894760,2015,01/16/2015 12:48:48 PM,41.867149051,-87.728236621,"(41.867149051, -87.728236621)"
9920734,HY109507,01/09/2015 09:30:00 PM,121XX S INDIANA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,0532,005,9,53,08B,1179809,1824294,2015,01/16/2015 12:48:48 PM,41.67313294,-87.617524868,"(41.67313294, -87.617524868)"
9920674,HY109484,01/09/2015 09:25:00 PM,096XX S HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,false,false,2223,022,21,73,14,1172719,1840825,2015,01/16/2015 12:48:48 PM,41.71865525,-87.642989747,"(41.71865525, -87.642989747)"
9920669,HY109479,01/09/2015 09:22:00 PM,049XX W SUPERIOR ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1531,015,37,25,03,1143487,1904558,2015,01/16/2015 12:48:48 PM,41.894142028,-87.748469342,"(41.894142028, -87.748469342)"
9920696,HY109494,01/09/2015 09:15:00 PM,032XX W WASHINGTON BLVD,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,VEHICLE NON-COMMERCIAL,true,false,1123,011,28,27,24,1154893,1900541,2015,01/16/2015 12:48:48 PM,41.882897995,-87.70668615,"(41.882897995, -87.70668615)"
9920673,HY109502,01/09/2015 09:15:00 PM,100XX S NORMAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,2232,022,9,73,08B,1174691,1838501,2015,01/16/2015 12:48:48 PM,41.712234248,-87.635835973,"(41.712234248, -87.635835973)"
9920633,HY109470,01/09/2015 09:15:00 PM,110XX S WENTWORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,0513,005,34,49,08B,1176955,1831371,2015,01/16/2015 12:48:48 PM,41.692617886,-87.627758521,"(41.692617886, -87.627758521)"
9920662,HY109485,01/09/2015 09:15:00 PM,011XX N CLARK ST,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,ALLEY,true,false,1824,018,42,8,18,1175280,1908324,2015,01/16/2015 12:48:48 PM,41.903822062,-87.631590966,"(41.903822062, -87.631590966)"
